Date,Open,High,Low,Close,Volume
5/1/2019 16:00,209.88,215.31,209.23,210.52,64827328
5/2/2019 16:00,209.84,212.65,208.13,209.15,31996324
5/3/2019 16:00,210.89,211.84,210.23,211.75,20892378
5/6/2019 16:00,204.29,208.84,203.5,208.48,32443113
5/7/2019 16:00,205.88,207.42,200.83,202.86,38763698
5/8/2019 16:00,201.9,205.34,201.75,202.9,26339504
5/9/2019 16:00,200.4,201.68,196.66,200.72,34908607
5/10/2019 16:00,197.42,198.85,192.77,197.18,41208712
5/13/2019 16:00,187.71,189.48,182.85,185.72,57430623
5/14/2019 16:00,186.41,189.7,185.41,188.66,36529677
5/15/2019 16:00,186.27,191.75,186.02,190.92,26544718
5/16/2019 16:00,189.91,192.47,188.84,190.08,33031364
5/17/2019 16:00,186.93,190.9,186.76,189,32879090
5/20/2019 16:00,183.52,184.35,180.28,183.09,38612290
5/21/2019 16:00,185.22,188,184.7,186.6,28364848
5/22/2019 16:00,184.66,185.71,182.55,182.78,29748556
5/23/2019 16:00,179.8,180.54,177.81,179.66,36529736
5/24/2019 16:00,180.2,182.14,178.62,178.97,23714686
